Freq	S11	S11ang	S21	S21ang	S12	S12ang	S22	S22ang				
9724600000	-8.20E+00	5.49E+00	2.38E+01	-1.45E+02	-3.70E+01	3.80E+01	3.50E+01	1.24E+02				
9814550000	-8.59E+00	1.79E+00	2.32E+01	-1.70E+02	-4.19E+01	1.36E+01	3.40E+01	1.20E+02				
9904500000	-8.24E+00	-4.24E+00	2.31E+01	1.64E+02	-4.16E+01	1.67E+02	3.51E+01	1.19E+02				
9994450000	-8.05E+00	-1.03E+01	2.32E+01	1.40E+02	-4.28E+01	-2.09E+01	3.42E+01	1.19E+02				
10084400000	-8.45E+00	-1.54E+01	2.30E+01	1.12E+02	-4.36E+01	1.52E+02	3.48E+01	1.16E+02				
10174350000	-8.40E+00	-1.81E+01	2.31E+01	8.78E+01	-4.12E+01	-3.72E+01	3.42E+01	1.18E+02				
10264300000	-7.59E+00	-2.35E+01	2.32E+01	6.01E+01	-4.27E+01	8.83E+01	3.44E+01	1.12E+02				
10354250000	-7.78E+00	-2.71E+01	2.31E+01	3.51E+01	-3.84E+01	-1.21E+02	3.46E+01	1.17E+02				
10444200000	-7.65E+00	-3.34E+01	2.31E+01	6.27E+00	-3.81E+01	-1.27E+02	3.41E+01	1.09E+02				
10534150000	-7.70E+00	-3.76E+01	2.30E+01	-2.06E+01	-4.30E+01	5.74E+01	3.48E+01	1.15E+02				
10624100000	-6.85E+00	-4.32E+01	2.30E+01	-4.67E+01	-3.45E+01	4.26E+01	3.42E+01	1.10E+02				
10714050000	-6.81E+00	-5.05E+01	2.30E+01	-7.36E+01	-3.77E+01	4.25E+01	3.48E+01	1.15E+02				
10804000000	-6.73E+00	-5.46E+01	2.27E+01	-1.03E+02	-3.83E+01	-8.96E+01	3.41E+01	1.12E+02				
10893950000	-6.31E+00	-6.13E+01	2.27E+01	-1.30E+02	-4.39E+01	-1.76E+02	3.53E+01	1.11E+02				
10983900000	-6.34E+00	-6.88E+01	2.28E+01	-1.57E+02	-5.66E+01	2.67E+01	3.43E+01	1.12E+02				
11073850000	-6.08E+00	-7.57E+01	2.25E+01	1.76E+02	-4.29E+01	1.49E+02	3.56E+01	1.09E+02				
11163800000	-5.77E+00	-8.14E+01	2.21E+01	1.47E+02	-3.38E+01	-1.30E+02	3.49E+01	1.11E+02				
11253750000	-5.63E+00	-8.33E+01	2.21E+01	1.21E+02	-3.85E+01	1.41E+02	3.59E+01	1.05E+02				
11343700000	-5.42E+00	-9.33E+01	2.21E+01	9.13E+01	-3.93E+01	3.18E+01	3.56E+01	1.09E+02				
11433650000	-5.04E+00	-9.89E+01	2.21E+01	6.01E+01	-4.56E+01	1.94E+01	3.60E+01	1.01E+02				
